"x_iso","y_iso"
NA,8.75
12.5526075022873,8.92857142857143
12.2964318389753,9.11458333333333
12.0402561756633,9.30851063829787
11.7840805123513,9.51086956521739
11.5279048490393,9.72222222222222
11.2717291857274,9.94318181818182
11.0155535224154,10.1744186046512
10.7593778591034,10.4166666666667
10.5032021957914,10.6707317073171
10.2470265324794,10.9375
9.99085086916743,11.2179487179487
9.73467520585544,11.5131578947368
9.47849954254346,11.8243243243243
9.22232387923147,12.1527777777778
8.96614821591949,12.5
8.7099725526075,12.8676470588235
8.45379688929552,13.2575757575758
8.19762122598353,13.671875
7.94144556267155,14.1129032258065
7.68526989935956,14.5833333333333
7.42909423604758,15.0862068965517
7.17291857273559,15.625
6.9167429094236,16.2037037037037
6.66056724611162,16.8269230769231
6.40439158279963,17.5
6.14821591948765,18.2291666666667
5.89204025617566,19.0217391304348
5.63586459286368,19.8863636363636
5.37968892955169,20.8333333333333
5.12351326623971,21.875
4.86733760292772,23.0263157894737
4.61116193961574,24.3055555555556
4.35498627630375,25.7352941176471
4.09881061299177,27.34375
3.84263494967978,29.1666666666667
3.5864592863678,31.25
3.33028362305581,33.6538461538461
3.07410795974382,36.4583333333333
2.81793229643184,39.7727272727273
2.56175663311985,43.75
2.30558096980787,48.6111111111111
2.04940530649588,54.6875
1.7932296431839,62.5
1.53705397987191,72.9166666666667
1.28087831655993,87.5
1.02470265324794,109.375
0.768526989935957,145.833333333333
0.512351326623971,218.75
0.256175663311986,437.5
0,Inf
